Gene ID,Ensembl Gene ID,label
122809,ENSG00000180008,0
64359,ENSG00000167693,0
11218,ENSG00000064703,1
401236,ENSG00000230873,0
27115,ENSG00000171408,0
353141,ENSG00000187223,0
10011,ENSG00000213523,0
8567,ENSG00000110514,0
28799,ENSG00000211665,0
222553,ENSG00000196376,0
8546,ENSG00000132842,0
5909,ENSG00000076864,0
23139,ENSG00000086015,0
100287404,ENSG00000248920,0
84992,ENSG00000255072,0
956,ENSG00000168032,0
127703,ENSG00000142686,0
124975,ENSG00000167741,0
124936,ENSG00000167740,0
53345,ENSG00000213996,0
54986,ENSG00000168038,0
5575,ENSG00000188191,0
9622,ENSG00000167749,0
10686,ENSG00000113946,0
114026,ENSG00000141946,0
3860,ENSG00000171401,0
6703,ENSG00000163216,0
28625,ENSG00000211768,0
3804,ENSG00000283708,0
253769,ENSG00000184465,0
352909,ENSG00000167646,0
9372,ENSG00000157077,0
5744,ENSG00000087494,0
2249,ENSG00000075388,0
28628,ENSG00000211765,0
28629,ENSG00000211764,0
729852,ENSG00000219545,0
7580,ENSG00000169740,0
8139,ENSG00000261609,0
9079,ENSG00000169744,0
170627,ENSG00000171405,0
100534595,ENSG00000234857,0
11194,ENSG00000197150,0
79718,ENSG00000177565,0
3008,ENSG00000168298,0
6515,ENSG00000059804,0
51083,ENSG00000069482,0
138881,ENSG00000171496,0
5162,ENSG00000168291,0
148,ENSG00000120907,0
79872,ENSG00000105879,0
6015,ENSG00000206287,0
1135,ENSG00000120903,0
163702,ENSG00000185436,0
8701,ENSG00000105877,0
29062,ENSG00000105875,0
8728,ENSG00000135074,0
687,ENSG00000119138,0
55015,ENSG00000185246,1
84868,ENSG00000135077,0
9113,ENSG00000131023,0
5318,ENSG00000057294,0
8369,ENSG00000275663,0
5481,ENSG00000171497,0
22858,ENSG00000112144,0
5914,ENSG00000131759,0
126374,ENSG00000142279,0
114791,ENSG00000275835,1
22838,ENSG00000146083,0
313,ENSG00000136250,0
740,ENSG00000149792,1
7356,ENSG00000149021,0
4594,ENSG00000146085,0
26284,ENSG00000132591,1
4070,ENSG00000184292,0
54602,ENSG00000102471,0
60680,ENSG00000161082,0
10435,ENSG00000149798,0
5441,ENSG00000177700,1
221079,ENSG00000165997,0
729540,ENSG00000183054,0
347,ENSG00000189058,0
56975,ENSG00000282147,0
25945,ENSG00000177707,0
10876,ENSG00000181562,0
57645,ENSG00000143157,0
649,ENSG00000168487,0
9924,ENSG00000135473,0
246330,ENSG00000174516,0
339451,ENSG00000187961,0
84985,ENSG00000147689,0
83940,ENSG00000291730,0
4715,ENSG00000147684,0
93166,ENSG00000061455,0
64518,ENSG00000125409,0
389874,ENSG00000187969,0
2963,ENSG00000188342,1
221143,ENSG00000150456,0
79669,ENSG00000114529,0
9861,ENSG00000163636,1
93953,ENSG00000147174,0
9700,ENSG00000135476,1
84279,ENSG00000135617,0
55083,ENSG00000162849,0
8723,ENSG00000114520,0
348094,ENSG00000166839,0
90113,ENSG00000145198,0
283212,ENSG00000149243,0
5413,ENSG00000184702,0
3185,ENSG00000169813,0
8893,ENSG00000145191,1
197,ENSG00000145192,0
5597,ENSG00000069956,0
9718,ENSG00000145194,0
10494,ENSG00000115694,0
686,ENSG00000169814,0
80128,ENSG00000163462,0
200185,ENSG00000163463,0
3577,ENSG00000163464,0
22979,ENSG00000084710,0
58509,ENSG00000105298,1
7203,ENSG00000163468,1
1499,ENSG00000168036,0
5366,ENSG00000141682,0
92017,ENSG00000048471,0
333,ENSG00000105290,0
4774,ENSG00000162599,0
127795,ENSG00000162598,0
10227,ENSG00000109736,0
2743,ENSG00000109738,0
55718,ENSG00000284282,1
390201,ENSG00000172289,0
9774,ENSG00000029363,0
9077,ENSG00000162595,0
149233,ENSG00000162594,0
642273,ENSG00000184731,0
8673,ENSG00000118640,0
11273,ENSG00000168488,0
899,ENSG00000162063,0
389084,ENSG00000182600,0
1947,ENSG00000090776,0
10120,ENSG00000115073,0
1285,ENSG00000169031,0
431704,ENSG00000253148,0
3816,ENSG00000167748,0
2013,ENSG00000213853,0
57643,ENSG00000162415,0
7416,ENSG00000213585,0
658,ENSG00000138696,0
84665,ENSG00000138347,0
1763,ENSG00000138346,0
120379,ENSG00000150773,0
5178,ENSG00000198300,0
64926,ENSG00000105122,0
823,ENSG00000014216,0
10270,ENSG00000105127,0
9903,ENSG00000162413,0
282808,ENSG00000102128,0
54916,ENSG00000070269,0
28624,ENSG00000211769,0
2306,ENSG00000186564,0
23131,ENSG00000186566,0
56971,ENSG00000186567,0
390667,ENSG00000251692,0
245908,ENSG00000285411,0
221935,ENSG00000146555,0
285855,ENSG00000146223,1
202500,ENSG00000146221,0
23504,ENSG00000060709,0
9056,ENSG00000155465,0
84067,ENSG00000051009,0
10313,ENSG00000133318,0
85329,ENSG00000133317,0
26099,ENSG00000055070,0
28992,ENSG00000133315,0
9611,ENSG00000141027,0
55748,ENSG00000133313,0
79969,ENSG00000231257,0
3849,ENSG00000172867,0
5706,ENSG00000100519,1
85457,ENSG00000198894,0
149345,ENSG00000198892,0
55170,ENSG00000198890,0
4041,ENSG00000162337,0
55253,ENSG00000198874,0
4287,ENSG00000066427,0
27107,ENSG00000066422,1
255762,ENSG00000155714,0
219790,ENSG00000182010,0
55228,ENSG00000182013,0
150082,ENSG00000157578,0
5638,ENSG00000130962,0
399671,ENSG00000187105,0
7019,ENSG00000108064,0
90139,ENSG00000157570,0
8036,ENSG00000108061,0
116154,ENSG00000087495,0
10023,ENSG00000165879,0
26095,ENSG00000204179,0
1316,ENSG00000067082,0
5540,ENSG00000204174,0
83849,ENSG00000204176,0
3850,ENSG00000186442,0
642517,ENSG00000204172,0
81930,ENSG00000121621,0
64785,ENSG00000181938,1
222223,ENSG00000164659,0
389524,ENSG00000174428,0
137735,ENSG00000174429,0
51806,ENSG00000178372,0
7326,ENSG00000132388,0
284114,ENSG00000284228,0
284369,ENSG00000179213,0
54468,ENSG00000164654,1
10658,ENSG00000149187,0
148252,ENSG00000176490,0
23556,ENSG00000197563,0
